,date,running_banner,type,wish,rarity,weapon,element,sex
146,2020-10-31,Sparkling Steps,weapon,Emerald Orb,3,Catalyst,None,None
147,2020-10-31,Sparkling Steps,weapon,Ferrous Shadow,3,Claymore,None,None
148,2020-10-31,Sparkling Steps,weapon,Harbinger of Dawn,3,Sword,None,None
149,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
150,2020-10-31,Sparkling Steps,char,Sucrose,4,Catalyst,Anemo,F
151,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
152,2020-10-31,Sparkling Steps,weapon,Emerald Orb,3,Catalyst,None,None
153,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
154,2020-10-31,Sparkling Steps,weapon,Ferrous Shadow,3,Claymore,None,None
155,2020-10-31,Sparkling Steps,char,Xingqiu,4,Sword,Hydro,M
156,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
157,2020-10-31,Sparkling Steps,weapon,Ferrous Shadow,3,Claymore,None,None
158,2020-10-31,Sparkling Steps,weapon,Harbinger of Dawn,3,Sword,None,None
159,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
160,2020-10-31,Sparkling Steps,weapon,Ferrous Shadow,3,Claymore,None,None
161,2020-10-31,Sparkling Steps,char,Klee,5,Catalyst,Pyro,F
162,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
163,2020-10-31,Sparkling Steps,weapon,Ferrous Shadow,3,Claymore,None,None
164,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
165,2020-10-31,Sparkling Steps,char,Xingqiu,4,Sword,Hydro,M
166,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
167,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
168,2020-11-12,Farewell of Snezhnaya,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
169,2020-11-12,Farewell of Snezhnaya,weapon,Slingshot,3,Bow,None,None
170,2020-11-12,Farewell of Snezhnaya,weapon,Magic Guide,3,Catalyst,None,None
171,2020-11-12,Farewell of Snezhnaya,weapon,Bloodtainted Greatsword,3,Claymore,None,None
172,2020-11-12,Farewell of Snezhnaya,weapon,Sharpshooter's Oath,3,Bow,None,None
173,2020-11-12,Farewell of Snezhnaya,weapon,Harbinger of Dawn,3,Sword,None,None
174,2020-11-12,Farewell of Snezhnaya,char,Xiangling,4,Polearm,Pyro,F
175,2020-11-12,Farewell of Snezhnaya,char,Diona,4,Bow,Cryo,F
176,2020-11-12,Farewell of Snezhnaya,weapon,Emerald Orb,3,Catalyst,None,None
177,2020-11-12,Farewell of Snezhnaya,weapon,Bloodtainted Greatsword,3,Claymore,None,None
178,2020-12-12,Gentry of Hermitage,weapon,Sacrificial Fragments,4,Catalyst,None,None
179,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
180,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
181,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
182,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
183,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
184,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
185,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
186,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
187,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
188,2020-12-12,Gentry of Hermitage,char,Chongyun,4,Claymore,Cryo,M
189,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
190,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
191,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
192,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
193,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
194,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
195,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
196,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
197,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
198,2020-12-12,Gentry of Hermitage,weapon,Favonius Lance,4,Polearm,None,None
199,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
200,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
201,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
202,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
203,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
204,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
205,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
206,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
207,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
208,2020-12-12,Gentry of Hermitage,char,Razor,4,Claymore,Electro,M
209,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
210,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
211,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
212,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
213,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
214,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
215,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
216,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
217,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
218,2020-12-12,Gentry of Hermitage,char,Barbara,4,Catalyst,Hydro,F
219,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
220,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
221,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
222,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
223,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
224,2020-12-12,Gentry of Hermitage,char,Razor,4,Claymore,Electro,M
225,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
226,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
227,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
228,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
229,2020-12-12,Gentry of Hermitage,char,Beidou,4,Claymore,Electro,F
230,2020-12-12,Gentry of Hermitage,char,Chongyun,4,Claymore,Cryo,M
231,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
232,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
233,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
234,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
235,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
236,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
237,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
238,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
239,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
240,2020-12-12,Gentry of Hermitage,weapon,Favonius Warbow,4,Bow,None,None
241,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
242,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
243,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
244,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
245,2020-12-12,Gentry of Hermitage,char,Xinyan,4,Claymore,Pyro,F
246,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
247,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
248,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
249,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
250,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
251,2020-12-12,Gentry of Hermitage,char,Qiqi,5,Sword,Cryo,F
252,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
253,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
254,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
255,2020-12-12,Gentry of Hermitage,char,Xingqiu,4,Sword,Hydro,M
256,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
257,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
258,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
259,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
260,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
261,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
262,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
263,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
264,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
265,2020-12-12,Gentry of Hermitage,char,Razor,4,Claymore,Electro,M
266,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
267,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
268,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
269,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
270,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
271,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
272,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
273,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
274,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
275,2020-12-12,Gentry of Hermitage,char,Razor,4,Claymore,Electro,M
276,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
277,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
278,2020-12-12,Gentry of Hermitage,char,Zhongli,5,Polearm,Geo,M
279,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
280,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
281,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
282,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
283,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
284,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
285,2020-12-12,Gentry of Hermitage,char,Chongyun,4,Claymore,Cryo,M
286,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
287,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
288,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
289,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
290,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
291,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
292,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
293,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
294,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
295,2020-12-12,Gentry of Hermitage,char,Sucrose,4,Catalyst,Anemo,F
296,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
297,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
298,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
299,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
300,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
301,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
302,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
303,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
304,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
305,2020-12-12,Gentry of Hermitage,char,Razor,4,Claymore,Electro,M
306,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
307,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
308,2020-12-12,Gentry of Hermitage,char,Xinyan,4,Claymore,Pyro,F
309,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
310,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
311,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
312,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
313,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
314,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
315,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
316,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
317,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
318,2020-12-12,Gentry of Hermitage,weapon,Favonius Sword,4,Sword,None,None
319,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
320,2020-12-12,Gentry of Hermitage,char,Razor,4,Claymore,Electro,M
321,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
322,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
323,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
324,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
325,2020-12-12,Gentry of Hermitage,weapon,Debate Club,3,Claymore,None,None
